anime_id,title,img_url,link
32380,Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!,https://cdn.myanimelist.net/images/anime/1649/98516.jpg,https://myanimelist.net/anime/32380/Kono_Subarashii_Sekai_ni_Shukufuku_wo__Kono_Subarashii_Choker_ni_Shukufuku_wo
35860,Karakai Jouzu no Takagi-san,https://cdn.myanimelist.net/images/anime/1591/95091.jpg,https://myanimelist.net/anime/35860/Karakai_Jouzu_no_Takagi-san
3092,Junjou Romantica,https://cdn.myanimelist.net/images/anime/7/8811.jpg,https://myanimelist.net/anime/3092/Junjou_Romantica
38084,Fate/Grand Order: Zettai Majuu Sensen Babylonia,https://cdn.myanimelist.net/images/anime/1194/103420.jpg,https://myanimelist.net/anime/38084/Fate_Grand_Order__Zettai_Majuu_Sensen_Babylonia
37033,Emiya-san Chi no Kyou no Gohan,https://cdn.myanimelist.net/images/anime/8/89981.jpg,https://myanimelist.net/anime/37033/Emiya-san_Chi_no_Kyou_no_Gohan
28999,Charlotte,https://cdn.myanimelist.net/images/anime/12/74683.jpg,https://myanimelist.net/anime/28999/Charlotte
388,Capeta,https://cdn.myanimelist.net/images/anime/5/17667.jpg,https://myanimelist.net/anime/388/Capeta
9724,Break Blade 5: Shisen no Hate,https://cdn.myanimelist.net/images/anime/9/68087.jpg,https://myanimelist.net/anime/9724/Break_Blade_5__Shisen_no_Hate
37985,Aggressive Retsuko (ONA) 2nd Season,https://cdn.myanimelist.net/images/anime/1739/101117.jpg,https://myanimelist.net/anime/37985/Aggressive_Retsuko_ONA_2nd_Season
38435,Yao Shen Ji 3rd Season,https://cdn.myanimelist.net/images/anime/1134/95151.jpg,https://myanimelist.net/anime/38435/Yao_Shen_Ji_3rd_Season
20057,Space☆Dandy,https://cdn.myanimelist.net/images/anime/4/56611.jpg,https://myanimelist.net/anime/20057/Space%E2%98%86Dandy
1172,Slayers Try,https://cdn.myanimelist.net/images/anime/10/50875.jpg,https://myanimelist.net/anime/1172/Slayers_Try
397,Seikai no Senki II,https://cdn.myanimelist.net/images/anime/12/61109.jpg,https://myanimelist.net/anime/397/Seikai_no_Senki_II
2273,Mobile Suit Gundam Wing: Endless Waltz Movie,https://cdn.myanimelist.net/images/anime/1/2507.jpg,https://myanimelist.net/anime/2273/Mobile_Suit_Gundam_Wing__Endless_Waltz_Movie
4080,Kyou kara Maou! 3rd Series,https://cdn.myanimelist.net/images/anime/7/22639.jpg,https://myanimelist.net/anime/4080/Kyou_kara_Maou_3rd_Series
11887,Kokoro Connect,https://cdn.myanimelist.net/images/anime/2/39665.jpg,https://myanimelist.net/anime/11887/Kokoro_Connect
254,Jungle wa Itsumo Hare nochi Guu Deluxe,https://cdn.myanimelist.net/images/anime/3/10306.jpg,https://myanimelist.net/anime/254/Jungle_wa_Itsumo_Hare_nochi_Guu_Deluxe
11135,Hybrid Child,https://cdn.myanimelist.net/images/anime/4/65605.jpg,https://myanimelist.net/anime/11135/Hybrid_Child
13119,Hakuouki Movie 2: Shikon Soukyuu,https://cdn.myanimelist.net/images/anime/12/71796.jpg,https://myanimelist.net/anime/13119/Hakuouki_Movie_2__Shikon_Soukyuu
29755,Haikyuu!! Movie 1: Owari to Hajimari,https://cdn.myanimelist.net/images/anime/8/76011.jpg,https://myanimelist.net/anime/29755/Haikyuu_Movie_1__Owari_to_Hajimari
267,Gungrave,https://cdn.myanimelist.net/images/anime/11/75724.jpg,https://myanimelist.net/anime/267/Gungrave
4872,Goku Sayonara Zetsubou Sensei,https://cdn.myanimelist.net/images/anime/10/14336.jpg,https://myanimelist.net/anime/4872/Goku_Sayonara_Zetsubou_Sensei
3665,Ginga Eiyuu Densetsu Gaiden (1999),https://cdn.myanimelist.net/images/anime/6/9580.jpg,https://myanimelist.net/anime/3665/Ginga_Eiyuu_Densetsu_Gaiden_1999
37150,Douluo Dalu,https://cdn.myanimelist.net/images/anime/1438/101531.jpg,https://myanimelist.net/anime/37150/Douluo_Dalu
6768,Code Geass: Hangyaku no Lelouch R2 Special Edition - Zero Requiem,https://cdn.myanimelist.net/images/anime/7/15968.jpg,https://myanimelist.net/anime/6768/Code_Geass__Hangyaku_no_Lelouch_R2_Special_Edition_-_Zero_Requiem
12403,Yuru Yuri♪♪,https://cdn.myanimelist.net/images/anime/8/75174.jpg,https://myanimelist.net/anime/12403/Yuru_Yuri%E2%99%AA%E2%99%AA
39597,Sword Art Online: Alicization - War of Underworld,https://cdn.myanimelist.net/images/anime/1630/103417.jpg,https://myanimelist.net/anime/39597/Sword_Art_Online__Alicization_-_War_of_Underworld
15771,Saint☆Oniisan (Movie),https://cdn.myanimelist.net/images/anime/7/48723.jpg,https://myanimelist.net/anime/15771/Saint%E2%98%86Oniisan_Movie
82,Mobile Suit Gundam 0080: War in the Pocket,https://cdn.myanimelist.net/images/anime/1/82.jpg,https://myanimelist.net/anime/82/Mobile_Suit_Gundam_0080__War_in_the_Pocket
34745,Mahoujin Guruguru (2017),https://cdn.myanimelist.net/images/anime/1880/103168.jpg,https://myanimelist.net/anime/34745/Mahoujin_Guruguru_2017
3782,Kara no Kyoukai 2: Satsujin Kousatsu (Zen),https://cdn.myanimelist.net/images/anime/3/21737.jpg,https://myanimelist.net/anime/3782/Kara_no_Kyoukai_2__Satsujin_Kousatsu_Zen
253,Jungle wa Itsumo Hare nochi Guu,https://cdn.myanimelist.net/images/anime/10/24555.jpg,https://myanimelist.net/anime/253/Jungle_wa_Itsumo_Hare_nochi_Guu
12413,Jormungand,https://cdn.myanimelist.net/images/anime/11/73280.jpg,https://myanimelist.net/anime/12413/Jormungand
5630,Higashi no Eden,https://cdn.myanimelist.net/images/anime/9/15033.jpg,https://myanimelist.net/anime/5630/Higashi_no_Eden
38816,Hello World,https://cdn.myanimelist.net/images/anime/1395/102089.jpg,https://myanimelist.net/anime/38816/Hello_World
29787,Gochuumon wa Usagi Desu ka??,https://cdn.myanimelist.net/images/anime/8/76702.jpg,https://myanimelist.net/anime/29787/Gochuumon_wa_Usagi_Desu_ka
2321,Giant Robo the Animation: Chikyuu ga Seishi Suru Hi,https://cdn.myanimelist.net/images/anime/12/27657.jpg,https://myanimelist.net/anime/2321/Giant_Robo_the_Animation__Chikyuu_ga_Seishi_Suru_Hi
37822,Douluo Dalu 2nd Season,https://cdn.myanimelist.net/images/anime/1538/93566.jpg,https://myanimelist.net/anime/37822/Douluo_Dalu_2nd_Season
4447,Detective Conan Movie 12: Full Score of Fear,https://cdn.myanimelist.net/images/anime/6/22766.jpg,https://myanimelist.net/anime/4447/Detective_Conan_Movie_12__Full_Score_of_Fear
1505,Detective Conan Movie 09: Strategy Above the Depths,https://cdn.myanimelist.net/images/anime/8/20983.jpg,https://myanimelist.net/anime/1505/Detective_Conan_Movie_09__Strategy_Above_the_Depths
1472,City Hunter 3,https://cdn.myanimelist.net/images/anime/1147/94393.jpg,https://myanimelist.net/anime/1472/City_Hunter_3
9465,Break Blade 4: Sanka no Chi,https://cdn.myanimelist.net/images/anime/11/68085.jpg,https://myanimelist.net/anime/9465/Break_Blade_4__Sanka_no_Chi
35507,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),https://cdn.myanimelist.net/images/anime/5/86830.jpg,https://myanimelist.net/anime/35507/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e_TV
38349,Wotaku ni Koi wa Muzukashii: Youth,https://cdn.myanimelist.net/images/anime/1506/97024.jpg,https://myanimelist.net/anime/38349/Wotaku_ni_Koi_wa_Muzukashii__Youth
17949,The Everlasting Guilty Crown,https://cdn.myanimelist.net/images/anime/12/47807.jpg,https://myanimelist.net/anime/17949/The_Everlasting_Guilty_Crown
12445,Tasogare Otome x Amnesia,https://cdn.myanimelist.net/images/anime/12/64435.jpg,https://myanimelist.net/anime/12445/Tasogare_Otome_x_Amnesia
1254,Saint Seiya,https://cdn.myanimelist.net/images/anime/9/28496.jpg,https://myanimelist.net/anime/1254/Saint_Seiya
35073,Overlord II,https://cdn.myanimelist.net/images/anime/12/89562.jpg,https://myanimelist.net/anime/35073/Overlord_II
597,Neko no Ongaeshi,https://cdn.myanimelist.net/images/anime/1/597.jpg,https://myanimelist.net/anime/597/Neko_no_Ongaeshi
569,Musekinin Kanchou Tylor,https://cdn.myanimelist.net/images/anime/4/14898.jpg,https://myanimelist.net/anime/569/Musekinin_Kanchou_Tylor
19111,Love Live! School Idol Project 2nd Season,https://cdn.myanimelist.net/images/anime/10/59101.jpg,https://myanimelist.net/anime/19111/Love_Live_School_Idol_Project_2nd_Season
14349,Little Witch Academia,https://cdn.myanimelist.net/images/anime/2/42989.jpg,https://myanimelist.net/anime/14349/Little_Witch_Academia
4898,Kuroshitsuji,https://cdn.myanimelist.net/images/anime/5/27013.jpg,https://myanimelist.net/anime/4898/Kuroshitsuji
249,InuYasha (TV),https://cdn.myanimelist.net/images/anime/1589/95329.jpg,https://myanimelist.net/anime/249/InuYasha_TV
12893,Danshi Koukousei no Nichijou Specials,https://cdn.myanimelist.net/images/anime/8/38527.jpg,https://myanimelist.net/anime/12893/Danshi_Koukousei_no_Nichijou_Specials
8142,Colorful (Movie),https://cdn.myanimelist.net/images/anime/1839/103426.jpg,https://myanimelist.net/anime/8142/Colorful_Movie
532,Bishoujo Senshi Sailor Moon S,https://cdn.myanimelist.net/images/anime/1077/92346.jpg,https://myanimelist.net/anime/532/Bishoujo_Senshi_Sailor_Moon_S
21185,Baby Steps,https://cdn.myanimelist.net/images/anime/5/63361.jpg,https://myanimelist.net/anime/21185/Baby_Steps
890,Yuusha-Ou GaoGaiGar,https://cdn.myanimelist.net/images/anime/12/21183.jpg,https://myanimelist.net/anime/890/Yuusha-Ou_GaoGaiGar
543,Vampire Hunter D (2000),https://cdn.myanimelist.net/images/anime/9/21432.jpg,https://myanimelist.net/anime/543/Vampire_Hunter_D_2000
949,Top wo Nerae! Gunbuster,https://cdn.myanimelist.net/images/anime/1303/92309.jpg,https://myanimelist.net/anime/949/Top_wo_Nerae_Gunbuster
34504,Seitokai Yakuindomo Movie,https://cdn.myanimelist.net/images/anime/12/87184.jpg,https://myanimelist.net/anime/34504/Seitokai_Yakuindomo_Movie
1729,Maria-sama ga Miteru 3rd,https://cdn.myanimelist.net/images/anime/6/75209.jpg,https://myanimelist.net/anime/1729/Maria-sama_ga_Miteru_3rd
8310,Magic Kaito,https://cdn.myanimelist.net/images/anime/13/46095.jpg,https://myanimelist.net/anime/8310/Magic_Kaito
35075,Hoozuki no Reitetsu 2nd Season,https://cdn.myanimelist.net/images/anime/8/88280.jpg,https://myanimelist.net/anime/35075/Hoozuki_no_Reitetsu_2nd_Season
35678,Hibike! Euphonium Movie 3: Chikai no Finale,https://cdn.myanimelist.net/images/anime/1141/102223.jpg,https://myanimelist.net/anime/35678/Hibike_Euphonium_Movie_3__Chikai_no_Finale
15809,Hataraku Maou-sama!,https://cdn.myanimelist.net/images/anime/3/50177.jpg,https://myanimelist.net/anime/15809/Hataraku_Maou-sama
35111,Haikyuu!! Movie 4: Concept no Tatakai,https://cdn.myanimelist.net/images/anime/3/86346.jpg,https://myanimelist.net/anime/35111/Haikyuu_Movie_4__Concept_no_Tatakai
7304,Detective Conan Movie 08: Time Travel of the Silver Sky,https://cdn.myanimelist.net/images/anime/2/17583.jpg,https://myanimelist.net/anime/7304/Detective_Conan_Movie_08__Time_Travel_of_the_Silver_Sky
1366,Detective Conan Movie 07: Crossroad in the Ancient Capital,https://cdn.myanimelist.net/images/anime/10/20984.jpg,https://myanimelist.net/anime/1366/Detective_Conan_Movie_07__Crossroad_in_the_Ancient_Capital
23225,Yuru Yuri Nachuyachumi!,https://cdn.myanimelist.net/images/anime/2/73281.jpg,https://myanimelist.net/anime/23225/Yuru_Yuri_Nachuyachumi
17909,Uchouten Kazoku,https://cdn.myanimelist.net/images/anime/3/85433.jpg,https://myanimelist.net/anime/17909/Uchouten_Kazoku
10521,Working'!!,https://cdn.myanimelist.net/images/anime/3/75263.jpg,https://myanimelist.net/anime/10521/Working
22319,Tokyo Ghoul,https://cdn.myanimelist.net/images/anime/5/64449.jpg,https://myanimelist.net/anime/22319/Tokyo_Ghoul
400,Seihou Bukyou Outlaw Star,https://cdn.myanimelist.net/images/anime/7/28848.jpg,https://myanimelist.net/anime/400/Seihou_Bukyou_Outlaw_Star
9088,Saiyuuki Gaiden,https://cdn.myanimelist.net/images/anime/5/75818.jpg,https://myanimelist.net/anime/9088/Saiyuuki_Gaiden
33190,Planetarian: Hoshi no Hito,https://cdn.myanimelist.net/images/anime/10/79771.jpg,https://myanimelist.net/anime/33190/Planetarian__Hoshi_no_Hito
20,Naruto,https://cdn.myanimelist.net/images/anime/13/17405.jpg,https://myanimelist.net/anime/20/Naruto
33221,Mobile Suit Gundam Thunderbolt: December Sky,https://cdn.myanimelist.net/images/anime/2/79823.jpg,https://myanimelist.net/anime/33221/Mobile_Suit_Gundam_Thunderbolt__December_Sky
